Song ID,Artist,Title,Album,Year,Date,Raw Lyrics
11,ABBA,"Andante, Andante",Super Trouper,1980,1980-11-03,"Take it easy with me, please
Touch me gently like a summer evening breeze
Take your time, make it slow
Andante, andante, just let the feeling grow

Make your fingers soft and light
Let your body be the velvet of the night
Touch my soul, you know how
Andante, andante, go slowly with me now

I'm your music (I am your music and I am your song)
I'm your song (I am your music and I am your song)
Play me time and time again and make me strong
(Play me again 'cause you're making me strong)
Make me sing, make me sound
(You make me sing and you make me)
Andante, andante, tread lightly on my ground
Andante, andante, oh, please don't let me down

There's a shimmer in your eyes
Like the feeling of a thousand butterflies
Please don't talk, go on, play
Andante, andante, and let me float away
I'm your music (I am your music and I am your song)
I'm your song (I am your music and I am your song)
Play me time and time again and make me strong
(Play me again 'cause you're making me strong)
Make me sing, make me sound
(You make me sing and you make me)
Andante, andante, tread lightly on my ground
Andante, andante, oh, please don't let me down


Make me sing, make me sound
(You make me sing and you make me)
Andante, andante, tread lightly on my ground
Andante, andante, oh, please don't let me down
Andante, andante, oh, please don't let me down2Embed"
12,ABBA,Don't Shut Me Down,Voyage,2021,2021-09-02,"A while ago, I heard the sound of children's laughter
Now it's quiet, so I guess they left the park
This wooden bench is getting harder by the hour
The sun is going down, it's getting dark
I realise I'm cold, the rain begins to pour
As I watch the windows on the second floor
The lights are on, it's time to go
It's time at last to let him know

I believe it would be fair to say
You look bewildered
And you wonder why I'm here today
And so you should, I would
When I left, I felt I'd had enough
But in the shape and form I appear now
I have learned to cope
And love and hope is why I am here now

And now you see another me, I've been reloaded, yeah
I'm fired up, don't shut me down
I'm like a dream within a dream that's been decoded
I'm fired up, I'm hot, don't shut me down
I'm not the one you knew
I'm now and then combined
And I'm asking you to have an open mind (And I won't be the same)
I'm not the same this time around (Ooh)
I'm fired up, don't shut me down
Will you leave me standing in the hall
Or let me enter?
The apartment hasn't changed at all
I got to say I'm glad
Once these rooms were witness to our love
My tantrums and increasing frustration
But I go from mad
To not so bad in my transformation (So now)

And now you see another me, I've been reloaded, yeah
I'm fired up, don't shut me down (Don't shut me down)
I'm like a dream within a dream that's been decoded
I'm fired up, I'm hot, don't shut me down
I am not the one you knew (I'm not the one you knew)
I'm now and then combined
And I'm asking you to have an open mind (And I won't be the same)
I'm not the same this time around (Ooh)
I'm fired up, don't shut me down

You asked me not to leave
Well, here I am again
And I love you still and so I won't pretend
I have learned to cope
And love and hope is why I am here now7Embed"
13,ABBA,Slipping Through My Fingers,The Visitors ,,,"Schoolbag in hand, she leaves home in the early morning
Waving goodbye with an absent-minded smile
I watch her go with a surge of that well-known sadness
And I have to sit down for a while

The feeling that I'm losing her forever
And without really entering her world
I'm glad whenever I can share her laughter
That funny little girl

Slipping through my fingers all the time
I try to capture every minute
The feeling in it
Slipping through my fingers all the time
Do I really see what's in her mind?
Each time I think I'm close to knowing
She keeps on growing
Slipping through my fingers all the time

Sleep in our eyes, her and me at the breakfast table
Barely awake, I let precious time go by
Then when she's gone, there's that odd melancholy feeling
And a sense of guilt I can't deny
What happened to the wonderful adventures
The places I had planned for us to go?
(Slipping through my fingers all the time)
Well, some of that we did, but most we didn't
And why, I just don't know

Slipping through my fingers all the time
I try to capture every minute
The feeling in it
Slipping through my fingers all the time
Do I really see what's in her mind?
Each time I think I'm close to knowing
She keeps on growing
Slipping through my fingers all the time

Sometimes I wish that I could freeze the picture
And save it from the funny tricks of time
Slipping through my fingers


Slipping through my fingers all the time
Schoolbag in hand, she leaves home in the early morning
Waving goodbye with an absent-minded smile7Embed"
14,ABBA,"Money, Money, Money",Arrival,1976,1976-11-01,"I work all night, I work all day, to pay the bills I have to pay
Ain't it sad?
And still, there never seems to be a single penny left for me
That's too bad

In my dreams, I have a plan
If I got me a wealthy man
I wouldn't have to work at all
I'd fool around and have a ball

Money, money, money
Must be funny
In the rich man's world
Money, money, money
Always sunny
In the rich man's world
A-ha, ah
All the things I could do
If I had a little money
It's a rich man's world

A man like that is hard to find, but I can't get him off my mind
Ain't it sad?
And if he happens to be free, I bet he wouldn't fancy me
That's too bad
So I must leave, I'll have to go
To Las Vegas or Monaco
And win a fortune in a game
My life will never be the same

Money, money, money
Must be funny
In the rich man's world
Money, money, money
Always sunny
In the rich man's world
A-ha, ah
All the things I could do
If I had a little money
It's a rich man's world

Money, money, money
Must be funny
In the rich man's world
Money, money, money
Always sunny
In the rich man's world
A-ha, ah
All the things I could do
If I had a little money
It's a rich man's world
It's a rich man's world14Embed"
15,ABBA,Voulez-Vous,Voulez-Vous,1979,1979-07-02,"People everywhere
A sense of expectation hanging in the air
Giving out a spark
Across the room, your eyes are glowing in the dark

And here we go again, we know the start, we know the end
Masters of the scene
We've done it all before and now we're back to get some more
You know what I mean

Voulez-vous (Ah-ha)
Take it now or leave it (Ah-ha)
Now is all we get (Ah-ha)
Nothing promised, no regrets (Ah-ha)
Voulez-vous (Ah-ha)
Ain't no big decision (Ah-ha)
You know what to do (Ah-ha)
La question c'est ""Voulez-vous?""
Voulez-vous

I know what you think
""The girl means business, so I'll offer her a drink""
Looking mighty proud
I see you leave your table, pushing through the crowd
I'm really glad you came, you know the rules, you know the game
Master of the scene
We've done it all before and now we're back to get some more
You know what I mean

Voulez-vous (Ah-ha)
Take it now or leave it (Ah-ha)
Now is all we get (Ah-ha)
Nothing promised, no regrets
Voulez-vous (Ah-ha)
Ain't no big decision (Ah-ha)
You know what to do (Ah-ha)
La question c'est ""Voulez-vous?""

And here we go again, we know the start, we know the end
Masters of the scene
We've done it all before and now we're back to get some more
You know what I mean

Voulez-vous (Ah-ha)
Take it now or leave it (Ah-ha)
Now is all we get (Ah-ha)
Nothing promised, no regrets
Voulez-vous (Ah-ha)
Ain't no big decision (Ah-ha)
You know what to do (Ah-ha)
La question c'est ""Voulez-vous?""
Voulez-vous
Voulez-vous (Ah-ha, ah-ha, ah-ha)
Voulez-vous (Ah-ha, ah-ha, ah-ha)
Voulez-vous (Ah-ha, ah-ha, ah-ha)
Voulez-vous (Ah-ha, ah-ha, ah-ha)

Voulez-vous (Ah-ha)
Take it now or leave it (Ah-ha)
Now is all we get (Ah-ha)
Nothing promised, no regrets
Voulez-vous (Ah-ha)
Ain't no big decision (Ah-ha)
You know what to do (Ah-ha)
La question c'est ""Voulez-vous?""
Voulez-vous
Voulez-vous (Ah-ha)
Take it now or leave it (Ah-ha)
Now is all we get (Ah-ha)
Nothing promised, no regrets
Voulez-vous (Ah-ha)
Ain't no big decision (Ah-ha)
You know what to do (Ah-ha)
La question c'est ""Voulez-vous?""
Voulez-vous7Embed"
16,ABBA,When I Kissed the Teacher,Arrival,1976,1976-10-11,"Everybody screamed
When I kissed the teacher
And they must have thought they dreamed
When I kissed the teacher
All my friends at school
They had never seen the teacher blush, he looked like a fool
Nearly petrified 'cause he was

Taken by surprise (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
Couldn't quite believe his eyes (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
My whole class went wild
As I held my breath the world stood still, but then he just smiled
I was in the seventh heaven
When I kissed the teacher

One of these days
Gonna tell him I dream of him every night
One of these days
Gonna show him I care, gonna teach him a lesson alright

I was in a trance (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
Suddenly I took the chance (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
Leaning over me
He was trying to explain the laws of geometry
And I couldn't help it
I just had to kiss the teacher
One of these days
Gonna tell him I dream of him every night
One of these days
Gonna show him I care, gonna teach him a lesson alright

What a crazy day (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
All my sense had flown away (Hug, hug him, I wanna kiss him)
When I kissed the teacher (Hug, hug him, I wanna kiss him)
My whole class went wild
As I held my breath, the world stood still, but then he just smiled
I was in the seventh heaven
When I kissed the teacher

(I wanna hug, hug, hug him) When I kissed the teacher
(I wanna hug, hug him) When I kissed the teacher
(I wanna hug, hug, hug him) When I kissed the teacher
(I wanna hug, hug him) When I kissed the teacher
(I wanna hug...)3Embed"
17,ABBA,Happy New Year,Super Trouper,,,"No more champagne
And the fireworks are through
Here we are, me and you
Feeling lost and feeling blue
It's the end of the party
And the morning seems so grey
So unlike yesterday
Now's the time for us to say

Happy new year, happy new year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy new year, happy new year
May we all have our hopes, our will to try
If we don't we might as well lay down and die
You and I

Sometimes I see
How the brave new world arrives
And I see how it thrives
In the ashes of our lives
Oh yes, man is a fool
And he thinks he'll be okay
Dragging on, feet of clay
Never knowing he's astray
Keeps on going anyway
Happy new year, happy new year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy new year, happy new year
May we all have our hopes, our will to try
If we don't we might as well lay down and die
You and I

Seems to me now
That the dreams we had before
Are all dead, nothing more
Than confetti on the floor
It's the end of a decade
In another ten years time
Who can say what we'll find
What lies waiting down the line
In the end of eighty-nine

Happy new year, happy new year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy new year, happy new year
May we all have our hopes, our will to try
If we don't we might as well lay down and die
You and I3Embed"
18,ABBA,Thank You for the Music,ABBA: The Album,1983,1983-11-06,"I'm nothing special, in fact I'm a bit of a bore
If I tell a joke, you've probably heard it before
But I have a talent, a wonderful thing
'Cause everyone listens when I start to sing
I'm so grateful and proud
All I want is to sing it out loud

So I say thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me

Mother says I was a dancer before I could walk
Mhm, she says I began to sing long before I could talk
And I've often wondered, how did it all start?
Who found out that nothing can capture a heart
Like a melody can?
Well, whoever it was, I'm a fan

So I say thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me
I've been so lucky
I am the girl with golden hair
I wanna sing it out to everybody
What a joy, what a life, what a chance

Thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me

So I say thank you for the music, for giving it to me7Embed"
19,ABBA,Why Did It Have to Be Me?,Arrival,1976,1976-10-11,"When you were lonely, you needed a man
Someone to lean on, well I understand
It's only natural, but why did it have to be me?
Nights can be empty, nights can be cold
So you were looking for someone to hold
That's only natural, but why did it have to be me?

I was so lonesome, I was blue
I couldn't help it, it had to be you and I
Always thought you knew the reason why
I only wanted a little love affair
Now I can see you are beginning to care
But baby, believe me
It's better to forget me

Men are the toys in the game that you play
When you get tired, you throw 'em away
That's only natural, but why did it have to be me?
Falling in love with a woman like you
Happens so quickly, there's nothing to do
It's only natural, but why did it have to be me?

I was so lonesome, I was blue
I couldn't help it, it had to be you and I
Always thought you knew the reason why
I only wanted a little love affair
Now I can see you are beginning to care
But baby, believe me
It's better to forget me1Embed"
20,ABBA,"My Love, My Life",Arrival,1976,1976-10-11,"I've seen it on your face
Tells me more than any worn-out old phrase
So now we'll go separate ways
Never again we two
Never again, nothing I can do

Like an image passing by
My love, my life
In the mirror of your eyes
My love, my life
I can see it all so clearly (See it all so clearly)
Answer me sincerely (Answer me sincerely)
Was it a dream, a lie?
Like reflections of your mind
My love, my life
Are the words you try to find
My love, my life
But I know I don't possess you
So go away, God bless you
You are still my love and my life
Still my one and only

I've watched you look away
Tell me, is it really so hard to say?
Oh, this has been my longest day
Sitting here close to you
Knowing that maybe tonight we're through
Like an image passing by
My love, my life
In the mirror of your eyes
My love, my life
I can see it all so clearly (See it all so clearly)
Answer me sincerely (Answer me sincerely)
Was it a dream, a lie?
Like reflections of your mind
My love, my life
Are the words you try to find
My love, my life
But I know I don't possess you
So go away, God bless you
You are still my love and my life
Yes I know I don't possess you
So go away, God bless you
You are still my love and my life
Still my one and only4Embed"
21,ABBA,Chiquitita (Spanish Version),Voulez-Vous,1979,1979-04-23,"
Chiquitita, dime por que
Tu dolor hoy te encadena
En tus ojos hay una sombra de gran pena
No quisiera verte asi
Aunque quieras disimularlo
Si es que tan triste estas, ?para que quieres callarlo?

Chiquitita, dimelo tu
En mi hombro, aqui llorando
Cuenta conmigo ya, para asi seguir andando
Tan segura te conoci
Y ahora tu ala quebrada
(Duele verte triste)
(Y duele verte llorar)
Dejamela arreglar, yo la quiero ver curada

Chiquitita, sabes muy bien
Que las penas vienen y van y desaparecen
Otra vez vas a bailar y seras feliz
Como flores que florecen
Chiquitita, no hay que llorar
Las estrellas brillan por ti alla en lo alto
Quiero verte sonreir para compartir
Tu alegria, Chiquitita
Otra vez quiero compartir
Tu alegria, Chiquitita
Chiquitita, dime por que
Tu dolor hoy te encadena
En tus ojos hay una sombra de gran pena
No quisiera verte asi
Aunque quieras disimularlo
Si es que tan triste estas, ?para que quieres callarlo?

Chiquitita, sabes muy bien
Que las penas vienen y van y desaparecen
Otra vez vas a bailar y seras feliz
Como flores que florecen
Chiquitita, no hay que llorar
Las estrellas brillan por ti alla en lo alto
Quiero verte sonreir para compartir
Tu alegria, Chiquitita
Otra vez quiero compartir
Tu alegria, Chiquitita

Otra vez quiero compartir
Tu alegria, ChiquititaEmbed"
22,ABBA,S.O.S.,ABBA,,,"Where are those happy days? They seem so hard to find
I tried to reach for you, but you have closed your mind
Whatever happened to our love? I wish I understood
It used to be so nice, it used to be so good

So when you're near me, darling, can't you hear me? S.O.S
The love you gave me, nothing else can save me, S.O.S
When you're gone, how can I even try to go on?
When you're gone, though I try, how can I carry on?

You seem so far away though you are standing near
You made me feel alive, but something died I fear
I really tried to make it out, I wish I understood
What happened to our love? It used to be so good

So when you're near me, darling, can't you hear me? S.O.S
The love you gave me, nothing else can save me, S.O.S
When you're gone, how can I even try to go on?
When you're gone, though I try, how can I carry on?

So when you're near me, darling, can't you hear me? S.O.S
And the love you gave me, nothing else can save me, S.O.S
When you're gone, how can I even try to go on?
When you're gone, though I try, how can I carry on?

When you're gone, how can I even try to go on?
When you're gone, though I try, how can I carry on?8Embed"
